,Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time,lat,long,Unnamed: 0,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
640,,,Xi'an Bright Laser Technologies,BLT-A100,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt",3.94,3.94,3.94,Price not reported,
641,,,Xi'an Bright Laser Technologies,BLT-A300,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,9.84,11.81,Price not reported,
642,,,Xi'an Bright Laser Technologies,BLT-C1000 (LSF-Series),,,,,,,,,Click for Details,,2000,Directed Energy Deposition,Metal,"Titanium, Steel, Nickel",59.0,39.4,39.4,Price not reported,
644,,,Xi'an Bright Laser Technologies,BLT-C600 (LSF-Series),,,,,,,,,Click for Details,,2000,Directed Energy Deposition,Metal,"Titanium, Steel, Nickel",23.6,23.6,39.4,Price not reported,
646,,,Xi'an Bright Laser Technologies,BLT-S210,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",4.13,4.13,7.87,Price not reported,
648,,,Xi'an Bright Laser Technologies,BLT-S310,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,9.84,15.75,Price not reported,
649,,,Xi'an Bright Laser Technologies,BLT-S320,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,9.84,15.75,Price not reported,
650,,,Xi'an Bright Laser Technologies,BLT-S400,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Copper, Cobalt, Titanium, Steel",9.84,15.75,15.75,Price not reported,
651,,,XJet,Carmel 1400,,,,,,,,,Click for Details,,,Material Jetting,"Ceramic, Metal",,19.69,11.02,7.87,Price not reported,
652,,,XJet,Carmel 700,,,,,,,,,Click for Details,,,Material Jetting,"Ceramic, Metal",,19.69,5.51,7.87,Price not reported,
653,,,Zhuhai CTC Electronic,Riverbase 500,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,19.7,15.7,11.8,"$50,000 - $99,999",
654,,,Zhuhai CTC Electronic,Walnut 26,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Aluminum",10.24,10.24,10.24,Price not reported,
655,,,ZRapid Tech,FMS400,,,,,,,,,Click for Details,,60,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Metal",,15.75,15.75,15.75,Price not reported,
656,,,ZRapid Tech,SLA1100,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,43.31,43.31,23.62,Price not reported,
657,,,ZRapid Tech,SLA200,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.8,6.3,6.3,Price not reported,
658,,,ZRapid Tech,SLA300,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,11.8,11.8,11.8,Price not reported,
659,,,ZRapid Tech,SLA450,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.7,17.7,13.8,Price not reported,
660,,,ZRapid Tech,SLA500,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,19.7,15.7,15.7,Price not reported,
661,,,ZRapid Tech,SLA550,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,19.69,19.69,11.81,Price not reported,
662,,,ZRapid Tech,SLA660,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.6,23.6,15.7,Price not reported,
663,,,ZRapid Tech,SLA800,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,23.62,31.5,15.75,Price not reported,
664,,,ZRapid Tech,SLM150,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",6.3,7.8,7.8,Price not reported,
665,,,ZRapid Tech,SLM280,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium",11.02,11.02,13.78,"$100,000 - $249,999",
666,,,ZRapid Tech,SLM300,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",11.8,9.8,9.8,Price not reported,
667,,,ZRapid Tech,SLS300,,,,,,,,,Click for Details,,60,Powder Bed Fusion (e.g. SLS),Polymer,PA,11.81,11.81,11.81,Price not reported,
668,,,3D Platform,3DP Workbench,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,39.4,19.7,"Less than $49,999",Discontinued
669,,,3D Platform,3DP1000,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,39.4,19.7,"Less than $49,999",Discontinued
670,,,3D Systems,iPro 8000,,,,,,,,,Click for Details,RDM 650M,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",25.6,13.7,11.8,"$500,000 - $999,999",Discontinued
674,,,3D Systems,iPro 8000 MP,,,,,,,,,Click for Details,RDM 650M,,Vat Photopolymerization (e.g. SLA),Polymer,PP-like,25.6,13.7,11.8,"$250,000 - $499,999",Discontinued
678,,,3D Systems,Phenix PXL,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,9.84,9.84,11.81,"$250,000 - $499,999",Discontinued
679,,,3D Systems,Phenix PXM,,,,,,,,,Click for Details,,300,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,5.51,5.51,3.94,"$250,000 - $499,999",Discontinued
680,,,3D Systems,Phenix PXS,,,,,,,,,Click for Details,,50,Powder Bed Fusion (e.g. SLS),"Ceramic, Metal",,3.94,3.94,3.15,"$100,000 - $249,999",Discontinued
682,,,3D Systems,ProJet 160,,,,,,,,,Click for Details,Monochrome,,Binder Jetting,Composite,Gypsum,9.3,7.3,5.0,"Less than $49,999",Discontinued
683,,,3D Systems,ProJet 260C,,,,,,,,,Click for Details,Basic CMY,,Binder Jetting,Composite,Gypsum,9.3,7.3,5.0,"Less than $49,999",Discontinued
684,,,3D Systems,ProJet 3510 CP,,,,,,,,,Click for Details,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
686,,,3D Systems,ProJet 3510 CPX,,,,,,,,,Click for Details,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
689,,,3D Systems,ProJet 3510 CPXMax,,,,,,,,,Click for Details,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
693,,,3D Systems,ProJet 3510 CPXPlus,,,,,,,,,Click for Details,HD,,Material Jetting,Wax,Wax-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
697,,,3D Systems,ProJet 3510 DP,,,,,,,,,Click for Details,HD,,Material Jetting,Polymer,Acrylic,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
699,,,3D Systems,ProJet 3510 DPPro,,,,,,,,,Click for Details,HDP,,Material Jetting,Polymer,Acrylic,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
702,,,3D Systems,ProJet 3510 HD,,,,,,,,,Click for Details,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
704,,,3D Systems,ProJet 3510 HDMax,,,,,,,,,Click for Details,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
708,,,3D Systems,ProJet 3510 HDPlus,,,,,,,,,Click for Details,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
711,,,3D Systems,ProJet 3510 MP,,,,,,,,,Click for Details,HDP,,Material Jetting,Polymer,Acrylic,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
713,,,3D Systems,ProJet 3510 SD,,,,,,,,,Click for Details,HD,,Material Jetting,Polymer,ABS-like,11.75,7.3,8.0,"$50,000 - $99,999",Discontinued
714,,,3D Systems,ProJet 4500,,,,,,,,,Click for Details,Standard,,Binder Jetting,Polymer,,8.0,10.0,8.0,"$50,000 - $99,999",Discontinued
715,,,3D Systems,ProJet 5000,,,,,,,,,Click for Details,HD,,Material Jetting,Polymer,"ABS-like/PP-like, PP-like",21.0,15.0,11.8,"$100,000 - $249,999",Discontinued
718,,,3D Systems,Projet 5500X,,,,,,,,,Click for Details,HD,,Material Jetting,Polymer,"ABS-like, PC-like, Rubber-like",21.0,15.0,11.8,"$100,000 - $249,999",Discontinued
720,,,3D Systems,ProJet 6000 MP,,,,,,,,,Click for Details,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10.0,10.0,10.0,"$100,000 - $249,999",Discontinued
723,,,3D Systems,ProJet 6000 SD,,,,,,,,,Click for Details,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10.0,10.0,10.0,"$100,000 - $249,999",Discontinued
725,,,3D Systems,ProJet 7000 MP,,,,,,,,,Click for Details,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15.0,15.0,10.0,"$250,000 - $499,999",Discontinued
728,,,3D Systems,ProJet 7000 SD,,,,,,,,,Click for Details,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15.0,15.0,10.0,"$250,000 - $499,999",Discontinued
730,,,3D Systems,ProX 400,,,,,,,,,Click for Details,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Titanium",19.69,19.69,19.69,Price not reported,Discontinued
732,,,3D Systems,ProX 500,,,,,,,,,Click for Details,Standard,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PA,15.0,13.0,18.0,"$250,000 - $499,999",Discontinued
733,,,3D Systems,ProX 500 Plus,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal",15.0,13.0,18.0,"$250,000 - $499,999",Discontinued
734,,,3D Systems,sPro 140,,,,,,,,,Click for Details,Base,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22.0,22.0,18.0,"$500,000 - $999,999",Discontinued
736,,,3D Systems,sPro 230,,,,,,,,,Click for Details,Base,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",22.0,22.0,30.0,"$500,000 - $999,999",Discontinued
739,,,3DCeram,Ceramaker,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Ceramic,,11.8,11.8,4.3,"$250,000 - $499,999",Discontinued
740,,,3DGence,3DGence Industry,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, HIPS, PA, PET, PVA, TPE, TPU",10.2,13.3,13.3,"Less than $49,999",Discontinued
741,,,3DGence,3DGence Medical,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,PLA,9.25,10.0,7.6,"Less than $49,999",Discontinued
742,,,3Geometry,DSM 1200,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,47.2,47.2,16.5,Price not reported,Discontinued
743,,,3Geometry,DSM 1200 HI,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,47.2,47.2,16.5,Price not reported,Discontinued
744,,,3Geometry,DSM 350,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,13.8,13.8,13.8,Price not reported,Discontinued
745,,,3Geometry,DSM 350 HI,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,13.8,13.8,13.8,Price not reported,Discontinued
746,,,3Geometry,DSM 500,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,19.7,19.7,16.5,Price not reported,Discontinued
747,,,3Geometry,DSM 500 HI,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,19.7,19.7,16.5,Price not reported,Discontinued
748,,,3Geometry,DSM 800,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,31.5,31.5,16.5,Price not reported,Discontinued
749,,,3Geometry,DSM 800 HI,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Sand,Silicate,31.5,31.5,16.5,Price not reported,Discontinued
750,,,addwii,X1 Full Color 3D Printer,,,,,,,,,Click for Details,,,Binder Jetting,Composite,Gypsum,7.9,6.3,5.9,"Less than $49,999",Discontinued
751,,,AON3D,AON-M,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PEEK, PEI, ABS, ASA, PLA, HIPS, PA, PET, PC, PC-ABS",17.87,17.87,25.2,"Less than $49,999",Discontinued
752,,,Apium,HPP 155,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,PEEK,5.5,5.3,5.8,"Less than $49,999",Discontinued
753,,,Arcam (GE Additive),Arcam A2,,,,,,,,,Click for Details,Build tank volume 1,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",7.87,7.87,9.84,"$500,000 - $999,999",Discontinued
755,,,Arcam (GE Additive),Arcam A2XX,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",13.779535000000001,13.779535000000001,14.960638000000001,"$500,000 - $999,999",Discontinued
756,,,Arcam (GE Additive),Arcam Q10,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",7.87,7.87,7.09,"$500,000 - $999,999",Discontinued
757,,,Arcam (GE Additive),Arcam Q20,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Cobalt",13.78,13.78,14.96,"$500,000 - $999,999",Discontinued
762,,,Aspect,RaFaEl 150,,,,,,,,,Click for Details,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, Rubber-like, PS",4.921263,4.921263,6.692917,"$100,000 - $249,999",Discontinued
763,,,Aspect,RaFaEl 300,,,,,,,,,Click for Details,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, Rubber-like, PS",11.023628,11.023628,14.566937,"$250,000 - $499,999",Discontinued
764,,,Aspect,RaFaEl 550,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, Rubber-like, PS",18.897648,18.897648,18.897648,"$500,000 - $999,999",Discontinued
765,,,Aurora Labs,S-Titanium,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Iron",5.9,5.9,19.685,"Less than $49,999",Discontinued
766,,,be3D,DeeRed,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PVA",15.74804,15.74804,30.314977000000003,"Less than $49,999",Discontinued
767,,,BeAM,CLAD Unit,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel",39.4,27.6,27.6,Price not reported,Discontinued
768,,,BeAM,MAGIC,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel",59.1,31.5,31.5,"Greater than $1,000,000",Discontinued
769,,,BeAM,Mobile CLAD,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Nickel",15.7,9.8,7.9,"$250,000 - $499,999",Discontinued
770,,,Beijing Longyuan,AFS5100,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",22.0,22.0,19.7,"$100,000 - $249,999",Discontinued
771,,,Beijing Longyuan,AFS5300,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",27.6,27.6,19.7,"$100,000 - $249,999",Discontinued
772,,,Beijing Longyuan,AFS7000,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",27.6,27.6,19.7,"$100,000 - $249,999",Discontinued
773,,,Beijing Longyuan,AFS-M180,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Nickel",7.08,7.08,7.87,"$250,000 - $499,999",Discontinued
774,,,Beijing Longyuan,SLM-250,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,,9.8,9.8,9.8,"$250,000 - $499,999",Discontinued
775,,,Beijing Tiertime Technology,Inspire A370,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,ABS,12.6,12.99,14.57,"$50,000 - $99,999",Discontinued
776,,,Beijing Tiertime Technology,Inspire A450,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,ABS,13.78,14.96,17.72,"$50,000 - $99,999",Discontinued
777,,,Beijing Tiertime Technology,Inspire D255,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,ABS,10.04,10.04,12.2,"Less than $49,999",Discontinued
778,,,Beijing Tiertime Technology,Inspire D290,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,ABS,10.04,11.42,12.6,"Less than $49,999",Discontinued
779,,,Beijing Tiertime Technology,Inspire S220,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,ABS,5.91,7.87,7.87,"Less than $49,999",Discontinued
780,,,Beijing Tiertime Technology,Inspire S250,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,ABS,5.91,7.87,9.84,"Less than $49,999",Discontinued
781,,,BigRep,BigRep ONE.2,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, CoPolymere, Laywood, Laybrick",43.31,42.01,43.19,"Less than $49,999",Discontinued
782,,,BigRep,BigRep Tech,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,PC,15.7,15.7,23.6,Price not reported,Discontinued
783,,,Blueprinter,Blueprinter M3,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,,6.181106,7.87402,5.905515,"Less than $49,999",Discontinued
784,,,Carima,CM-128,,,,,,,,,Click for Details,Pixel Size: 100µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",5.03,3.14,7.87,"Less than $49,999",Discontinued
785,,,Carima,CM-64,,,,,,,,,Click for Details,Pixel Size: 50µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",2.51,1.41,11.02,"Less than $49,999",Discontinued
786,,,Carima,DP 110,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.330711,3.228348,7.480319000000001,"Less than $49,999",Discontinued
787,,,Carima,DP 845,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.149608,1.771655,7.87402,"Less than $49,999",Discontinued
788,,,Carima,IM-130,,,,,,,,,Click for Details,Pixel Size: 67µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",5.11,2.87,5.9,"Less than $49,999",Discontinued
789,,,Carima,IM-78,,,,,,,,,Click for Details,Pixel Size: 40µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",3.09,1.73,5.9,"Less than $49,999",Discontinued
790,,,Carima,Master EV,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.87402,4.409451,7.87402,"Less than $49,999",Discontinued
791,,,Cincinnati Incorporated,BAAM 100 ALPHA - Size 1,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",157.5,78.75,34.0,"$500,000 - $999,999",Discontinued
792,,,Cincinnati Incorporated,BAAM 100 ALPHA - Size 2,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",240.0,93.0,72.0,"Greater than $1,000,000",Discontinued
793,,,CMET,EQ-1,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",24.0,24.0,19.7,"$250,000 - $499,999",Discontinued
794,,,Concept Laser (GE Additive),M3 linear,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel",11.81,13.78,11.81,"$500,000 - $999,999",Discontinued
796,,,Concept Laser (GE Additive),X line 1000R,,,,,,,,,Click for Details,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Titanium, Nickel",24.8,15.75,19.69,"Greater than $1,000,000",Discontinued
797,,,D-MEC,SCS-8100,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,Epoxy,24.0,24.0,19.7,Price not reported,Discontinued
799,,,DPP,XL DPE 3D Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PEI, PLA, ABS, PA, PVA, HIPS, TPU",47.0,47.0,20.0,"Less than $49,999",Discontinued
800,,,DWS Systems,DigitalWax 008J,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,2.56,2.56,3.54,"Less than $49,999",Discontinued
801,,,EnvisionTEC,Perfactory 3 DDP,,,,,,,,,Click for Details,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer","ABS-like, Gypsum-like",3.31,2.48,9.06,"$50,000 - $99,999",Discontinued
803,,,EnvisionTEC,Perfactory 3 Mini Multi Lens with ERM,,,,,,,,,Click for Details,"Lens f=2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",3.59,2.66,9.06,"$50,000 - $99,999",Discontinued
806,,,EnvisionTEC,Perfactory 4 DDP4,,,,,,,,,Click for Details,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum-like,4.5,2.8,9.06,"$50,000 - $99,999",Discontinued
807,,,EnvisionTEC,Perfactory 4 DDP4 M,,,,,,,,,Click for Details,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
808,,,EnvisionTEC,Perfactory 4 DDP4 XL,,,,,,,,,Click for Details,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,7.6,4.7,9.06,"$50,000 - $99,999",Discontinued
809,,,EnvisionTEC,Perfactory 4 DSP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
811,,,EnvisionTEC,Perfactory 4 DSP XL,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,7.6,4.7,9.06,"$100,000 - $249,999",Discontinued
813,,,EnvisionTEC,Perfactory 4 Standard,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, PP-like, Wax-like",6.3,3.9,9.06,"$50,000 - $99,999",Discontinued
815,,,EnvisionTEC,Perfactory 4 Standard XL,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",7.6,4.7,9.06,"$50,000 - $99,999",Discontinued
817,,,EnvisionTEC,Perfactory Apollo,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,3.94,2.95,3.94,"Less than $49,999",Discontinued
818,,,EnvisionTEC,Perfactory Apollo PLUS,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,3.94,2.94,3.15,"Less than $49,999",Discontinued
819,,,EnvisionTEC,Perfactory Aureus,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,2.36,1.77,3.94,"Less than $49,999",Discontinued
820,,,EnvisionTEC,Perfactory DDDP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,3.94,2.95,3.94,"Less than $49,999",Discontinued
821,,,EnvisionTEC,Perfactory DDDP PLUS,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum-like,3.94,2.95,3.15,"Less than $49,999",Discontinued
822,,,EnvisionTEC,Perfactory DDSP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,3.94,2.94,3.94,"Less than $49,999",Discontinued
823,,,EnvisionTEC,Perfactory DDSP PLUS,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,2.36,1.77,3.15,"Less than $49,999",Discontinued
824,,,EnvisionTEC,Perfactory Desktop XL,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",ABS-like,3.94,2.94,3.94,"Less than $49,999",Discontinued
825,,,EnvisionTEC,Perfactory Desktop XL PLUS,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",ABS-like,3.94,2.94,3.15,"Less than $49,999",Discontinued
826,,,EnvisionTEC,Perfactory Micro Advantage,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax","ABS-like, Wax-like",2.36,1.77,3.94,"Less than $49,999",Discontinued
827,,,EnvisionTEC,Perfactory Micro DDP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",,1.57,1.18,3.94,"Less than $49,999",Discontinued
828,,,EnvisionTEC,Perfactory Micro DGP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.94,2.94,3.94,"Less than $49,999",Discontinued
829,,,EnvisionTEC,Perfactory Micro DSP L,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,2.36,1.77,3.94,"Less than $49,999",Discontinued
830,,,EnvisionTEC,Perfactory Micro DSP M,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,1.97,1.48,3.94,"Less than $49,999",Discontinued
831,,,EnvisionTEC,Perfactory Micro DSP S,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,1.57,1.18,3.94,"Less than $49,999",Discontinued
832,,,EnvisionTEC,Perfactory Micro EDU,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer, Wax","ABS-like, Gypsum-like, PP-like, Wax-like",3.94,2.94,3.94,"Less than $49,999",Discontinued
